"날짜","종가","오픈","고가","저가","변동 %"
"2020년 09월 16일","1.485","1.495","1.507","1.480","-1.26%"
"2020년 09월 15일","1.504","1.504","1.516","1.489","-0.92%"
"2020년 09월 14일","1.518","1.532","1.544","1.507","-0.91%"
"2020년 09월 13일","1.532","1.532","1.532","1.532","0.20%"
"2020년 09월 11일","1.529","1.507","1.533","1.507","0.86%"
"2020년 09월 10일","1.516","1.521","1.521","1.490","-0.13%"
"2020년 09월 09일","1.518","1.503","1.532","1.500","-2.44%"
"2020년 09월 08일","1.556","1.564","1.572","1.533","-0.95%"
"2020년 09월 07일","1.571","1.580","1.580","1.550","2.01%"
"2020년 09월 06일","1.540","1.540","1.540","1.540","0.00%"
"2020년 09월 05일","1.540","1.540","1.540","1.540","1.05%"
"2020년 09월 04일","1.524","1.513","1.549","1.513","0.13%"
"2020년 09월 03일","1.522","1.537","1.557","1.515","-1.10%"
"2020년 09월 02일","1.539","1.565","1.598","1.530","-2.90%"
"2020년 09월 01일","1.585","1.528","1.599","1.523","4.76%"
"2020년 08월 31일","1.513","1.478","1.525","1.478","1.89%"
"2020년 08월 30일","1.485","1.485","1.485","1.485","0.00%"
"2020년 08월 29일","1.485","1.485","1.485","1.485","-0.07%"
"2020년 08월 28일","1.486","1.450","1.502","1.450","4.57%"
"2020년 08월 27일","1.421","1.386","1.438","1.367","1.14%"
"2020년 08월 26일","1.405","1.399","1.419","1.393","1.30%"
"2020년 08월 25일","1.387","1.379","1.396","1.373","0.73%"
"2020년 08월 24일","1.377","1.405","1.405","1.374","-2.34%"
"2020년 08월 23일","1.410","1.410","1.410","1.410","0.00%"
"2020년 08월 22일","1.410","1.410","1.410","1.410","0.00%"
"2020년 08월 21일","1.410","1.375","1.415","1.373","2.25%"
"2020년 08월 20일","1.379","1.361","1.382","1.360","2.45%"
"2020년 08월 19일","1.346","1.348","1.379","1.339","-0.81%"
"2020년 08월 18일","1.357","1.394","1.401","1.354","-3.07%"
"2020년 08월 17일","1.400","1.400","1.400","1.400","0.00%"
"2020년 08월 16일","1.400","1.400","1.400","1.400","0.00%"
"2020년 08월 15일","1.400","1.400","1.400","1.400","0.43%"
"2020년 08월 14일","1.394","1.384","1.405","1.381","2.27%"
"2020년 08월 13일","1.363","1.370","1.375","1.354","-0.51%"
"2020년 08월 12일","1.370","1.368","1.385","1.359","1.86%"
"2020년 08월 11일","1.345","1.351","1.379","1.345","-1.39%"
"2020년 08월 10일","1.364","1.345","1.367","1.343","2.79%"
"2020년 08월 09일","1.327","1.327","1.327","1.327","0.00%"
"2020년 08월 08일","1.327","1.327","1.327","1.327","0.61%"
"2020년 08월 07일","1.319","1.307","1.322","1.298","1.00%"
"2020년 08월 06일","1.306","1.300","1.313","1.299","1.08%"
"2020년 08월 05일","1.292","1.289","1.292","1.276","-1.07%"
"2020년 08월 04일","1.306","1.313","1.321","1.299","-0.08%"
"2020년 08월 03일","1.307","1.293","1.309","1.286","0.93%"
"2020년 08월 02일","1.295","1.295","1.295","1.295","0.00%"
"2020년 08월 01일","1.295","1.295","1.295","1.295","-0.15%"
"2020년 07월 31일","1.297","1.273","1.297","1.258","1.09%"
"2020년 07월 30일","1.283","1.301","1.302","1.280","-2.06%"
"2020년 07월 29일","1.310","1.305","1.318","1.302","-1.43%"
"2020년 07월 28일","1.329","1.300","1.334","1.299","1.76%"
"2020년 07월 27일","1.306","1.312","1.317","1.291","0.31%"
"2020년 07월 26일","1.302","1.302","1.302","1.302","0.00%"
"2020년 07월 25일","1.302","1.302","1.302","1.302","-0.23%"
"2020년 07월 24일","1.305","1.312","1.312","1.293","-0.91%"
"2020년 07월 23일","1.317","1.335","1.342","1.313","-2.23%"
"2020년 07월 22일","1.347","1.343","1.357","1.339","-0.66%"
"2020년 07월 21일","1.356","1.323","1.358","1.321","1.65%"
"2020년 07월 20일","1.334","1.354","1.358","1.334","-1.19%"
"2020년 07월 19일","1.350","1.350","1.350","1.350","0.00%"
"2020년 07월 18일","1.350","1.350","1.350","1.350","0.15%"
"2020년 07월 17일","1.348","1.367","1.368","1.345","-2.46%"
"2020년 07월 16일","1.382","1.413","1.423","1.380","-2.40%"
"2020년 07월 15일","1.416","1.410","1.428","1.406","-0.21%"
"2020년 07월 14일","1.419","1.410","1.425","1.397","-0.07%"
"2020년 07월 13일","1.420","1.410","1.426","1.410","1.65%"
"2020년 07월 12일","1.397","1.397","1.397","1.397","0.00%"
"2020년 07월 10일","1.397","1.387","1.400","1.378","0.43%"
"2020년 07월 09일","1.391","1.377","1.397","1.376","0.94%"
"2020년 07월 08일","1.378","1.389","1.399","1.373","-0.65%"
"2020년 07월 07일","1.387","1.404","1.408","1.386","-1.56%"
"2020년 07월 06일","1.409","1.392","1.423","1.392","1.95%"
"2020년 07월 05일","1.382","1.382","1.382","1.382","0.00%"
"2020년 07월 04일","1.382","1.382","1.382","1.382","-0.43%"
"2020년 07월 03일","1.388","1.376","1.391","1.370","0.73%"
"2020년 07월 02일","1.378","1.392","1.392","1.370","-1.99%"
"2020년 07월 01일","1.406","1.380","1.414","1.359","2.70%"
"2020년 06월 30일","1.369","1.361","1.378","1.354","0.29%"
"2020년 06월 29일","1.365","1.322","1.366","1.322","3.02%"
"2020년 06월 28일","1.325","1.325","1.325","1.325","0.00%"
"2020년 06월 27일","1.325","1.325","1.325","1.325","-0.15%"
"2020년 06월 26일","1.327","1.337","1.346","1.315","-1.34%"
"2020년 06월 25일","1.345","1.348","1.362","1.344","-1.32%"
"2020년 06월 24일","1.363","1.377","1.377","1.348","-1.66%"
"2020년 06월 23일","1.386","1.382","1.389","1.351","-0.36%"
"2020년 06월 22일","1.391","1.386","1.409","1.386","0.07%"
"2020년 06월 21일","1.390","1.390","1.390","1.390","0.00%"
"2020년 06월 20일","1.390","1.390","1.390","1.390","0.87%"
"2020년 06월 19일","1.378","1.383","1.390","1.365","0.58%"
"2020년 06월 18일","1.370","1.394","1.395","1.365","-2.84%"
"2020년 06월 17일","1.410","1.408","1.441","1.394","0.71%"
"2020년 06월 16일","1.400","1.418","1.440","1.392","-1.69%"
