"날짜","종가","오픈","고가","저가","변동 %"
"2020년 06월 30일","0.590","0.591","0.591","0.590","3.15%"
"2020년 06월 29일","0.572","0.570","0.572","0.570","0.53%"
"2020년 06월 28일","0.569","0.569","0.569","0.569","0.00%"
"2020년 06월 27일","0.569","0.569","0.569","0.569","0.00%"
"2020년 06월 26일","0.569","0.570","0.570","0.568","1.79%"
"2020년 06월 25일","0.559","0.557","0.559","0.557","2.57%"
"2020년 06월 24일","0.545","0.545","0.545","0.545","-2.68%"
"2020년 06월 23일","0.560","0.562","0.562","0.560","-4.76%"
"2020년 06월 22일","0.588","0.594","0.594","0.588","-2.81%"
"2020년 06월 21일","0.605","0.605","0.605","0.605","0.00%"
"2020년 06월 20일","0.605","0.605","0.605","0.605","0.50%"
"2020년 06월 19일","0.602","0.605","0.605","0.582","-6.67%"
"2020년 06월 18일","0.645","0.645","0.645","0.645","-0.92%"
"2020년 06월 17일","0.651","0.651","0.651","0.651","1.09%"
"2020년 06월 16일","0.644","0.639","0.644","0.639","0.63%"
"2020년 06월 15일","0.640","0.640","0.640","0.640","6.67%"
"2020년 06월 14일","0.600","0.600","0.600","0.600","0.00%"
"2020년 06월 13일","0.600","0.600","0.600","0.600","0.00%"
"2020년 06월 12일","0.600","0.600","0.600","0.600","1.69%"
"2020년 06월 11일","0.590","0.590","0.590","0.590","-0.67%"
"2020년 06월 10일","0.594","0.594","0.594","0.594","-3.41%"
"2020년 06월 09일","0.615","0.617","0.617","0.615","-4.65%"
"2020년 06월 08일","0.645","0.645","0.645","0.645","2.38%"
"2020년 06월 07일","0.630","0.630","0.630","0.630","0.00%"
"2020년 06월 06일","0.630","0.630","0.630","0.630","0.00%"
"2020년 06월 05일","0.630","0.630","0.630","0.630","0.96%"
"2020년 06월 04일","0.624","0.625","0.625","0.622","2.13%"
"2020년 06월 03일","0.611","0.612","0.614","0.611","3.91%"
"2020년 06월 02일","0.588","0.587","0.589","0.587","0.00%"
"2020년 06월 01일","0.588","0.587","0.588","0.587","0.00%"
"2020년 05월 31일","0.588","0.588","0.588","0.588","0.00%"
"2020년 05월 30일","0.588","0.588","0.588","0.588","0.00%"
"2020년 05월 29일","0.588","0.585","0.588","0.585","-5.31%"
"2020년 05월 28일","0.621","0.622","0.622","0.621","-9.74%"
"2020년 05월 27일","0.688","0.692","0.692","0.688","-1.29%"
"2020년 05월 26일","0.697","0.700","0.700","0.697","-5.17%"
"2020년 05월 25일","0.735","0.735","0.735","0.735","0.96%"
"2020년 05월 24일","0.728","0.728","0.728","0.728","0.00%"
"2020년 05월 23일","0.728","0.728","0.728","0.728","0.00%"
"2020년 05월 22일","0.728","0.730","0.730","0.728","-0.82%"
"2020년 05월 21일","0.734","0.732","0.734","0.732","-0.81%"
"2020년 05월 20일","0.740","0.735","0.740","0.735","0.41%"
"2020년 05월 19일","0.737","0.740","0.740","0.737","0.14%"
"2020년 05월 18일","0.736","0.737","0.737","0.736","-0.81%"
"2020년 05월 17일","0.742","0.742","0.742","0.742","0.00%"
"2020년 05월 16일","0.742","0.742","0.742","0.742","-0.80%"
"2020년 05월 15일","0.748","0.753","0.753","0.748","-0.40%"
"2020년 05월 14일","0.751","0.752","0.752","0.751","0.27%"
"2020년 05월 13일","0.749","0.749","0.749","0.749","-0.66%"
"2020년 05월 12일","0.754","0.757","0.757","0.754","-1.95%"
"2020년 05월 11일","0.769","0.769","0.769","0.769","1.59%"
"2020년 05월 10일","0.757","0.757","0.757","0.757","0.00%"
"2020년 05월 09일","0.757","0.757","0.757","0.757","-0.66%"
"2020년 05월 08일","0.762","0.762","0.762","0.762","-1.55%"
"2020년 05월 07일","0.774","0.779","0.779","0.774","-1.53%"
"2020년 05월 06일","0.786","0.790","0.790","0.786","-1.13%"
"2020년 05월 05일","0.795","0.795","0.795","0.795","0.00%"
"2020년 05월 04일","0.795","0.795","0.795","0.795","-1.36%"
"2020년 05월 03일","0.806","0.806","0.806","0.806","0.00%"
"2020년 05월 02일","0.806","0.806","0.806","0.806","0.00%"
"2020년 05월 01일","0.806","0.806","0.806","0.806","0.00%"
"2020년 04월 30일","0.806","0.806","0.806","0.806","0.00%"
"2020년 04월 29일","0.806","0.805","0.807","0.805","-1.23%"
"2020년 04월 28일","0.816","0.817","0.817","0.816","-0.37%"
"2020년 04월 27일","0.819","0.817","0.819","0.817","-0.73%"
"2020년 04월 26일","0.825","0.825","0.825","0.825","0.00%"
"2020년 04월 25일","0.825","0.825","0.825","0.825","0.00%"
"2020년 04월 24일","0.825","0.825","0.825","0.825","-3.40%"
"2020년 04월 23일","0.854","0.855","0.855","0.854","-1.50%"
"2020년 04월 22일","0.867","0.865","0.867","0.865","0.81%"
"2020년 04월 21일","0.860","0.860","0.861","0.860","0.00%"
"2020년 04월 20일","0.860","0.860","0.861","0.860","-1.15%"
"2020년 04월 19일","0.870","0.870","0.870","0.870","0.00%"
"2020년 04월 18일","0.870","0.870","0.870","0.870","0.00%"
"2020년 04월 17일","0.870","0.870","0.871","0.870","0.12%"
"2020년 04월 16일","0.869","0.867","0.869","0.867","1.64%"
"2020년 04월 15일","0.855","0.855","0.855","0.855","0.00%"
"2020년 04월 14일","0.855","0.855","0.856","0.855","0.23%"
"2020년 04월 13일","0.853","0.855","0.855","0.852","1.19%"
"2020년 04월 12일","0.843","0.843","0.843","0.843","0.00%"
"2020년 04월 11일","0.843","0.843","0.843","0.843","0.00%"
"2020년 04월 10일","0.843","0.845","0.845","0.843","0.00%"
"2020년 04월 09일","0.843","0.845","0.845","0.843","-3.21%"
"2020년 04월 08일","0.871","0.871","0.871","0.871","0.11%"
"2020년 04월 07일","0.870","0.890","0.890","0.870","-2.25%"
"2020년 04월 06일","0.890","0.890","0.890","0.890","-3.78%"
"2020년 04월 05일","0.925","0.925","0.925","0.925","0.00%"
"2020년 04월 04일","0.925","0.925","0.925","0.925","0.00%"
"2020년 04월 03일","0.925","0.925","0.925","0.925","-2.63%"
