"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 30일","10,058.76","9,875.29","10,085.59","9,863.67","1.10B","1.87%"
"2020년 06월 29일","9,874.15","9,771.72","9,877.34","9,663.61","977.01M","1.20%"
"2020년 06월 26일","9,757.22","9,995.12","10,000.67","9,749.07","2.67B","-2.59%"
"2020년 06월 25일","10,017.00","9,899.36","10,023.28","9,810.47","1.06B","1.09%"
"2020년 06월 24일","9,909.17","10,092.92","10,137.50","9,842.22","1.26B","-2.19%"
"2020년 06월 23일","10,131.37","10,130.83","10,221.85","10,112.44","1.18B","0.74%"
"2020년 06월 22일","10,056.47","9,945.49","10,059.61","9,916.60","1.06B","1.11%"
"2020년 06월 19일","9,946.12","10,042.13","10,053.91","9,872.94","2.39B","0.03%"
"2020년 06월 18일","9,943.05","9,892.48","9,959.20","9,885.66","1.03B","0.33%"
"2020년 06월 17일","9,910.53","9,943.31","9,991.21","9,891.81","1.01B","0.15%"
"2020년 06월 16일","9,895.87","9,949.78","9,963.63","9,748.38","1.09B","1.75%"
"2020년 06월 15일","9,726.02","9,426.90","9,756.07","9,403.00","1.08B","1.43%"
"2020년 06월 12일","9,588.81","9,715.87","9,768.64","9,413.62","1.04B","1.01%"
"2020년 06월 11일","9,492.73","9,791.24","9,868.08","9,491.30","1.25B","-5.27%"
"2020년 06월 10일","10,020.35","10,012.32","10,086.89","9,962.58","1.11B","0.67%"
"2020년 06월 09일","9,953.75","9,867.19","10,002.50","9,863.27","1.12B","0.29%"
"2020년 06월 08일","9,924.75","9,823.44","9,927.13","9,780.61","1.34B","1.13%"
"2020년 06월 05일","9,814.08","9,703.54","9,845.69","9,685.35","1.44B","2.06%"
"2020년 06월 04일","9,615.81","9,649.65","9,716.14","9,560.41","1.29B","-0.69%"
"2020년 06월 03일","9,682.91","9,651.86","9,707.78","9,627.17","1.01B","0.78%"
"2020년 06월 02일","9,608.38","9,566.53","9,611.22","9,472.08","908.58M","0.59%"
"2020년 06월 01일","9,552.05","9,471.42","9,571.28","9,462.32","878.99M","0.66%"
"2020년 05월 29일","9,489.87","9,382.35","9,505.55","9,324.73","1.45B","1.29%"
"2020년 05월 28일","9,368.99","9,392.99","9,523.64","9,345.28","877.39M","-0.46%"
"2020년 05월 27일","9,412.36","9,346.12","9,414.62","9,144.28","951.52M","0.77%"
"2020년 05월 26일","9,340.22","9,501.21","9,501.21","9,333.16","967.90M","0.17%"
"2020년 05월 22일","9,324.59","9,278.55","9,328.28","9,239.41","746.03M","0.43%"
"2020년 05월 21일","9,284.88","9,375.19","9,405.25","9,254.85","785.34M","-0.97%"
"2020년 05월 20일","9,375.78","9,305.62","9,392.82","9,304.20","938.19M","2.08%"
"2020년 05월 19일","9,185.10","9,227.46","9,317.25","9,183.25","869.45M","-0.54%"
"2020년 05월 18일","9,234.83","9,177.15","9,267.22","9,154.35","968.79M","2.44%"
"2020년 05월 15일","9,014.56","8,839.99","9,018.40","8,821.38","1.03B","0.79%"
"2020년 05월 14일","8,943.72","8,788.04","8,945.71","8,705.25","883.25M","0.91%"
"2020년 05월 13일","8,863.17","9,006.04","9,074.16","8,752.68","952.96M","-1.55%"
"2020년 05월 12일","9,002.55","9,225.14","9,250.96","9,000.07","922.43M","-2.06%"
"2020년 05월 11일","9,192.34","9,054.91","9,241.92","9,053.17","878.43M","0.78%"
"2020년 05월 08일","9,121.32","9,056.89","9,125.98","9,018.21","824.61M","1.58%"
"2020년 05월 07일","8,979.66","8,973.78","9,015.99","8,932.86","831.29M","1.41%"
"2020년 05월 06일","8,854.39","8,874.70","8,933.25","8,819.37","782.81M","0.51%"
"2020년 05월 05일","8,809.12","8,809.66","8,909.96","8,781.31","834.18M","1.13%"
"2020년 05월 04일","8,710.71","8,555.32","8,715.82","8,537.83","806.28M","1.23%"
"2020년 05월 01일","8,604.95","8,681.29","8,754.46","8,566.84","868.79M","-3.20%"
"2020년 04월 30일","8,889.55","8,911.01","8,926.11","8,825.83","1.13B","-0.28%"
"2020년 04월 29일","8,914.71","8,802.70","8,957.26","8,765.01","1.03B","3.57%"
"2020년 04월 28일","8,607.73","8,825.68","8,830.57","8,600.70","846.77M","-1.40%"
"2020년 04월 27일","8,730.16","8,717.98","8,754.57","8,697.37","807.92M","1.11%"
"2020년 04월 24일","8,634.52","8,530.08","8,642.93","8,464.42","797.88M","1.65%"
"2020년 04월 23일","8,494.75","8,528.84","8,635.22","8,475.20","854.52M","-0.01%"
"2020년 04월 22일","8,495.38","8,434.55","8,537.30","8,404.54","733.43M","2.81%"
"2020년 04월 21일","8,263.23","8,460.69","8,480.29","8,215.69","881.56M","-3.48%"
"2020년 04월 20일","8,560.73","8,553.38","8,684.91","8,553.38","876.31M","-1.03%"
