"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 06월 30일","25,812.88","25,512.43","25,905.38","25,475.14","412.69M","0.85%"
"2020년 06월 29일","25,595.80","25,152.45","25,601.15","25,096.16","385.13M","2.32%"
"2020년 06월 26일","25,015.55","25,641.69","25,641.69","24,971.03","676.18M","-2.84%"
"2020년 06월 25일","25,745.60","25,365.22","25,769.61","25,209.79","388.07M","1.18%"
"2020년 06월 24일","25,445.94","25,992.96","25,992.96","25,296.73","452.53M","-2.72%"
"2020년 06월 23일","26,156.10","26,159.39","26,314.97","26,105.97","392.16M","0.50%"
"2020년 06월 22일","26,024.96","25,865.08","26,059.81","25,667.68","353.01M","0.59%"
"2020년 06월 19일","25,871.46","26,213.10","26,451.44","25,759.66","681.89M","-0.80%"
"2020년 06월 18일","26,080.10","26,016.45","26,154.20","25,848.53","330.07M","-0.15%"
"2020년 06월 17일","26,119.61","26,330.52","26,400.07","26,068.41","330.57M","-0.65%"
"2020년 06월 16일","26,289.98","26,326.68","26,611.03","25,811.70","493.36M","2.04%"
"2020년 06월 15일","25,763.16","25,270.39","25,891.58","24,843.18","463.13M","0.62%"
"2020년 06월 12일","25,605.54","25,659.42","25,965.55","25,078.41","521.19M","1.90%"
"2020년 06월 11일","25,128.17","26,282.51","26,294.08","25,082.72","651.47M","-6.90%"
"2020년 06월 10일","26,989.99","27,251.89","27,355.22","26,938.05","449.99M","-1.04%"
"2020년 06월 09일","27,272.30","27,447.37","27,447.37","27,151.06","388.25M","-1.09%"
"2020년 06월 08일","27,572.44","27,232.93","27,580.21","27,232.48","433.34M","1.70%"
"2020년 06월 05일","27,110.98","26,836.80","27,338.30","26,836.80","544.41M","3.15%"
"2020년 06월 04일","26,281.82","26,226.49","26,384.10","26,082.31","375.55M","0.05%"
"2020년 06월 03일","26,269.89","25,906.88","26,337.75","25,906.88","401.27M","2.05%"
"2020년 06월 02일","25,742.65","25,582.52","25,743.13","25,523.74","355.24M","1.05%"
"2020년 06월 01일","25,475.02","25,342.99","25,508.83","25,220.66","341.22M","0.36%"
"2020년 05월 29일","25,383.11","25,324.15","25,482.80","25,031.67","545.14M","-0.07%"
"2020년 05월 28일","25,400.64","25,697.36","25,758.79","25,358.73","378.40M","-0.58%"
"2020년 05월 27일","25,548.27","25,298.63","25,551.56","25,009.87","420.36M","2.21%"
"2020년 05월 26일","24,995.11","24,781.84","25,176.42","24,781.84","426.29M","2.17%"
"2020년 05월 22일","24,465.16","24,461.98","24,481.64","24,294.07","255.66M","-0.04%"
"2020년 05월 21일","24,474.12","24,564.27","24,718.46","24,370.88","348.84M","-0.41%"
"2020년 05월 20일","24,575.90","24,455.94","24,649.48","24,455.94","371.93M","1.52%"
"2020년 05월 19일","24,206.86","24,577.48","24,599.50","24,202.96","376.92M","-1.59%"
"2020년 05월 18일","24,597.37","24,059.98","24,708.54","24,059.98","484.19M","3.85%"
"2020년 05월 15일","23,685.42","23,454.83","23,730.08","23,354.15","495.18M","0.25%"
"2020년 05월 14일","23,625.34","23,049.06","23,630.86","22,789.62","476.98M","1.62%"
"2020년 05월 13일","23,247.97","23,702.16","23,708.90","23,067.64","473.32M","-2.17%"
"2020년 05월 12일","23,764.78","24,292.84","24,382.09","23,761.58","361.56M","-1.89%"
"2020년 05월 11일","24,221.99","24,256.45","24,366.21","24,070.22","356.51M","-0.45%"
"2020년 05월 08일","24,331.32","24,107.82","24,349.90","24,107.05","337.34M","1.91%"
"2020년 05월 07일","23,875.89","23,837.21","24,094.62","23,834.39","371.68M","0.89%"
"2020년 05월 06일","23,664.64","23,978.88","24,054.59","23,661.14","379.91M","-0.91%"
"2020년 05월 05일","23,883.09","23,958.88","24,169.72","23,868.91","374.49M","0.56%"
"2020년 05월 04일","23,749.76","23,581.55","23,769.56","23,361.16","358.39M","0.11%"
"2020년 05월 01일","23,723.69","24,120.78","24,120.78","23,645.30","421.59M","-2.55%"
"2020년 04월 30일","24,345.72","24,585.57","24,585.57","24,186.90","487.84M","-1.17%"
"2020년 04월 29일","24,633.86","24,490.37","24,764.77","24,453.99","462.48M","2.21%"
