Date,Open,High,Low,Close
2017-01-02,"1,206.85","1,210.20","1,204.42","1,207.64"
2017-01-03,"1,207.36","1,211.90","1,201.29","1,208.36"
2017-01-04,"1,209.16","1,211.82","1,196.22","1,198.90"
2017-01-05,"1,199.38","1,201.48","1,182.63","1,185.78"
2017-01-06,"1,186.11","1,200.00","1,179.33","1,196.32"
2017-01-07,"1,196.39","1,202.60","1,192.95","1,202.03"
2017-01-09,"1,202.05","1,209.63","1,201.55","1,203.50"
2017-01-10,"1,203.71","1,208.25","1,193.70","1,197.34"
2017-01-11,"1,197.36","1,202.10","1,192.20","1,200.95"
2017-01-12,"1,200.95","1,202.90","1,175.00","1,176.45"
2017-01-13,"1,175.80","1,184.85","1,171.28","1,179.17"
2017-01-14,"1,181.02","1,181.75","1,174.80","1,174.93"
2017-01-16,"1,175.05","1,185.56","1,175.04","1,184.64"
2017-01-17,"1,184.64","1,187.30","1,163.50","1,164.12"
2017-01-18,"1,164.10","1,174.45","1,160.15","1,169.84"
2017-01-19,"1,169.33","1,181.53","1,166.75","1,181.05"
2017-01-20,"1,180.77","1,181.48","1,168.47","1,175.48"
2017-01-21,"1,175.49","1,177.56","1,169.30","1,175.20"
2017-01-23,"1,175.20","1,176.00","1,162.60","1,169.22"
2017-01-24,"1,169.22","1,169.50","1,160.75","1,163.65"
2017-01-25,"1,163.39","1,171.25","1,162.00","1,166.70"
2017-01-26,"1,166.71","1,168.96","1,156.00","1,168.66"
2017-01-27,"1,168.65","1,177.00","1,159.15","1,174.77"
2017-01-30,"1,178.50","1,179.15","1,159.15","1,176.28"
2017-01-31,"1,176.27","1,176.72","1,149.60","1,150.37"
2017-02-01,"1,150.40","1,162.10","1,147.75","1,157.05"
2017-02-02,"1,157.78","1,158.55","1,137.66","1,138.83"
2017-02-03,"1,138.93","1,149.00","1,137.53","1,139.30"
2017-02-04,"1,139.41","1,147.60","1,134.25","1,138.35"
2017-02-06,"1,138.38","1,139.70","1,131.07","1,136.88"
2017-02-07,"1,136.78","1,148.72","1,133.50","1,147.28"
2017-02-08,"1,147.29","1,149.54","1,140.50","1,142.92"
2017-02-09,"1,143.02","1,148.15","1,139.22","1,144.77"
2017-02-10,"1,148.22","1,154.75","1,143.77","1,149.51"
2017-02-11,"1,148.82","1,150.55","1,145.50","1,146.40"
2017-02-13,"1,146.58","1,154.75","1,146.00","1,151.08"
2017-02-14,"1,151.03","1,153.25","1,134.31","1,137.93"
2017-02-15,"1,140.06","1,147.75","1,137.06","1,141.79"
2017-02-16,"1,141.80","1,144.50","1,133.45","1,140.59"
2017-02-17,"1,140.53","1,152.07","1,138.89","1,150.66"
2017-02-18,"1,150.65","1,153.17","1,146.25","1,150.40"
2017-02-20,"1,150.75","1,151.56","1,145.15","1,146.83"
2017-02-21,"1,146.86","1,149.75","1,143.52","1,145.75"
2017-02-22,"1,145.04","1,146.49","1,138.52","1,143.13"
2017-02-23,"1,143.16","1,144.23","1,132.10","1,132.29"
2017-02-24,"1,132.34","1,137.35","1,127.55","1,131.31"
2017-02-25,"1,131.37","1,132.02","1,130.25","1,130.82"
2017-02-27,"1,130.24","1,135.25","1,129.89","1,132.12"
2017-02-28,"1,132.12","1,135.33","1,124.80","1,129.06"
2017-03-01,"1,129.06","1,146.67","1,127.17","1,144.35"
2017-03-02,"1,144.88","1,148.02","1,138.37","1,147.65"
2017-03-03,"1,147.82","1,159.46","1,141.60","1,156.87"
2017-03-04,"1,156.91","1,158.24","1,152.09","1,152.31"
2017-03-06,"1,153.95","1,158.65","1,152.32","1,154.17"
2017-03-07,"1,153.95","1,158.00","1,146.13","1,150.71"
2017-03-08,"1,150.72","1,155.86","1,142.87","1,154.54"
2017-03-09,"1,153.72","1,160.76","1,145.55","1,157.75"
2017-03-10,"1,157.77","1,162.10","1,153.15","1,153.83"
2017-03-13,"1,147.38","1,151.70","1,143.65","1,147.07"
