Date,Open,High,Low,Close,Volume,nasdaq,exchange,Semiconductor,foreign,institution,KOSPI,Korea_bond_1year,PBR,PER,ROE
2018-01-02,51380.0,51400.0,50780.0,51020.0,169485.0,7006.9,1067.23,1287.7,-23405.0,-18019.0,2479.65,1.8159999999999998,0.037681638655228264,0.2652443352206577,0.1420638771564368
2018-01-03,52540.0,52560.0,51420.0,51620.0,200270.0,7065.53,1062.88,1309.86,-47563.0,45759.0,2486.35,1.7919999999999998,0.03812477827093067,0.26836363355723925,0.14206387715643687
2018-01-04,52120.0,52180.0,50640.0,51080.0,233909.0,7077.91,1064.84,1317.24,-39755.0,26643.0,2466.46,1.8,0.0377259526167985,0.2655562650543158,0.14206387715643684
2018-01-05,51300.0,52120.0,51200.0,52120.0,189623.0,7136.56,1063.33,1325.71,5786.0,9550.0,2497.52,1.781,0.038494061284016015,0.27096304883772393,0.14206387715643684
2018-01-08,52400.0,52520.0,51500.0,52020.0,167673.0,7157.39,1062.27,1335.54,-17940.0,9060.0,2513.28,1.7890000000000001,0.038420204681398944,0.270443165781627,0.14206387715643684
2018-01-09,51460.0,51720.0,49980.0,50400.0,360272.0,7163.58,1067.82,1322.57,7382.0,-85325.0,2510.23,1.79,0.03722372771900243,0.26202106027285665,0.1420638771564368
2018-01-10,50500.0,50520.0,48640.0,48840.0,371336.0,7153.57,1071.5,1306.22,-33519.0,-107095.0,2499.75,1.814,0.03607156471817617,0.2539108845977444,0.14206387715643684
2018-01-11,48200.0,49260.0,48020.0,48240.0,502476.0,7211.78,1068.24,1314.34,-26527.0,-85955.0,2487.91,1.765,0.035628425102473764,0.2507915862611628,0.1420638771564368
2018-01-12,48240.0,48480.0,46760.0,48200.0,545409.0,7261.06,1064.79,1322.1,38089.0,-179932.0,2496.42,1.8030000000000002,0.03559888246142693,0.250583633038724,0.1420638771564368
2018-01-16,48760.0,50140.0,48620.0,50000.0,407793.0,7223.69,1063.21,1325.97,4638.0,32897.0,2521.74,1.8230000000000002,0.03692830130853416,0.2599415280484689,0.14206387715643684
2018-01-17,50020.0,50020.0,49060.0,49620.0,221061.0,7298.28,1064.68,1364.29,-21757.0,5073.0,2515.43,1.825,0.036647646218589305,0.2579659724353005,0.14206387715643684
2018-01-18,50020.0,50640.0,49820.0,49900.0,296977.0,7296.05,1068.72,1370.56,10972.0,14897.0,2515.81,1.795,0.036854444705917096,0.2594216449923719,0.14206387715643687
2018-01-19,50380.0,50380.0,49040.0,49320.0,184399.0,7336.38,1066.99,1372.03,-6822.0,-23737.0,2520.26,1.8019999999999998,0.0364260764107381,0.2564063232670097,0.14206387715643684
2018-01-22,48640.0,48680.0,47960.0,48240.0,250418.0,7408.03,1067.67,1382.41,-24259.0,-46944.0,2502.11,1.796,0.035628425102473764,0.2507915862611628,0.1420638771564368
2018-01-23,48660.0,49160.0,48300.0,49160.0,270654.0,7460.29,1070.85,1392.86,3436.0,4204.0,2536.6,1.785,0.03630790584655079,0.2555745103772546,0.14206387715643684
2018-01-24,48860.0,49700.0,48560.0,49340.0,191010.0,7415.06,1073.96,1360.68,32072.0,-20692.0,2538.0,1.79,0.036440847731261515,0.2565102998782291,0.1420638771564368
2018-01-25,49220.0,50360.0,49160.0,50260.0,223207.0,7411.16,1063.75,1337.62,22022.0,14216.0,2562.23,1.795,0.03712032847533854,0.2612932239943209,0.14206387715643684
2018-01-26,50500.0,50780.0,49840.0,50780.0,207002.0,7505.77,1061.06,1381.27,13355.0,22929.0,2574.76,1.785,0.037504382808947294,0.26399661588602497,0.14206387715643684
2018-01-29,51200.0,51480.0,50900.0,51220.0,236776.0,7466.51,1064.26,1378.42,17821.0,8769.0,2598.19,1.818,0.037829351860462386,0.2662841013328515,0.1420638771564368
2018-01-30,50440.0,50640.0,49780.0,49800.0,245691.0,7402.48,1070.93,1350.44,-25054.0,-40651.0,2567.74,1.818,0.03678058810330002,0.258901761936275,0.1420638771564368
2018-01-31,50020.0,54140.0,49600.0,49900.0,1293626.0,7411.48,1071.16,1361.5,-44110.0,-238247.0,2566.46,1.811,0.036854444705917096,0.2594216449923719,0.14206387715643687
2018-02-01,50620.0,50960.0,49720.0,49820.0,552189.0,7385.86,1066.18,1355.07,-44733.0,-85884.0,2568.54,1.801,0.036795359423823434,0.2590057385474944,0.14206387715643684
2018-02-02,49380.0,49400.0,47700.0,47700.0,585207.0,7240.95,1070.69,1317.98,-59806.0,-181773.0,2525.39,1.788,0.035229599448341586,0.2479842177582393,0.14206387715643684
2018-02-05,46500.0,48320.0,46000.0,47920.0,567158.0,6967.53,1089.92,1255.81,4487.0,-132236.0,2491.75,1.79,0.03539208397409914,0.24912796048165256,0.14206387715643684
2018-02-06,46600.0,47920.0,46580.0,47420.0,388129.0,7115.88,1089.29,1301.66,7216.0,-31934.0,2453.31,1.784,0.0350228009610138,0.2465285452011679,0.1420638771564368
2018-02-07,48240.0,48260.0,45800.0,45800.0,468961.0,7051.98,1085.23,1272.5,-96851.0,-37548.0,2396.56,1.8,0.033826323998617285,0.2381064396923975,0.1420638771564368
