Date,Open,High,Low,Close,Volume,nasdaq,exchange,Semiconductor,foreign,institution,KOSPI,Korea_bond_10year
2016-01-04,25200.0,25200.0,24100.0,24100.0,306939.0,4903.09,1175.66,656.28,-56273.0,-61874.0,1918.76,2.035
2016-01-05,24040.0,24360.0,23720.0,24160.0,216002.0,4891.43,1190.35,649.47,-14965.0,-27047.0,1930.53,2.062
2016-01-06,24160.0,24160.0,23360.0,23500.0,366752.0,4835.77,1190.81,631.2,-21984.0,-67968.0,1925.43,2.037
2016-01-07,23320.0,23660.0,23020.0,23260.0,282388.0,4689.43,1200.52,610.25,-13307.0,-58060.0,1904.33,2.019
2016-01-08,23260.0,23720.0,23260.0,23420.0,257763.0,4643.63,1197.29,600.48,15806.0,-47699.0,1917.62,2.057
2016-01-11,23120.0,23320.0,22920.0,23040.0,241277.0,4637.99,1207.94,603.55,27198.0,-67620.0,1894.84,2.021
2016-01-12,22960.0,23320.0,22880.0,22920.0,206283.0,4685.92,1204.63,608.56,-11452.0,-39611.0,1890.86,2.046
2016-01-13,23060.0,23180.0,22960.0,22960.0,143316.0,4526.06,1210.4,589.48,8410.0,-12871.0,1916.28,2.023
2016-01-14,22620.0,22840.0,22620.0,22760.0,209022.0,4615.0,1210.24,601.57,16442.0,-32252.0,1900.01,2.028
2016-01-15,22800.0,23040.0,22480.0,22640.0,209464.0,4488.42,1207.73,574.29,1349.0,-9288.0,1878.87,2.023
2016-01-19,22560.0,23420.0,22560.0,23420.0,207242.0,4476.95,1211.72,575.18,-19997.0,45854.0,1889.64,2.068
2016-01-20,23200.0,23200.0,22640.0,22760.0,167052.0,4471.69,1207.39,578.94,7863.0,-26311.0,1845.45,2.01
2016-01-21,22660.0,23100.0,22500.0,22620.0,190352.0,4472.06,1208.43,587.56,51690.0,-56029.0,1840.53,1.994
2016-01-22,22900.0,23360.0,22900.0,23360.0,147528.0,4591.18,1204.2,598.42,40537.0,-19407.0,1879.43,2.041
2016-01-25,23440.0,23520.0,23120.0,23240.0,159913.0,4518.49,1197.7,589.81,30938.0,-40272.0,1893.43,2.019
2016-01-26,23100.0,23140.0,22720.0,22740.0,152399.0,4567.67,1199.7,595.86,2030.0,-18222.0,1871.69,1.99
2016-01-27,22520.0,23500.0,22520.0,23500.0,276237.0,4468.17,1198.32,588.68,38118.0,-26473.0,1897.87,2.011
