Date,Open,High,Low,Close,Volume,nasdaq,exchange,Semiconductor,foreign,institution,KOSPI,Korea_bond_10year,PBR,PER,ROE
2016-01-04,1205000.0,1260000.0,1260000.0,1205000.0,305310.0,4903.09,1175.66,656.28,-56273.0,-61874.0,1918.76,2.035,0.02102992624986663,0.7139400697113523,0.029456150651929486
2016-01-05,1208000.0,1202000.0,1218000.0,1186000.0,208450.0,4891.43,1190.35,649.47,-14965.0,-27047.0,1930.53,2.062,0.02108228291272937,0.71571751386831,0.029456150651929486
2016-01-06,1175000.0,1208000.0,1208000.0,1168000.0,360330.0,4835.77,1190.81,631.2,-21984.0,-67968.0,1925.43,2.037,0.02050635962123925,0.6961656281417751,0.029456150651929486
2016-01-07,1163000.0,1166000.0,1183000.0,1151000.0,268930.0,4689.43,1200.52,610.25,-13307.0,-58060.0,1904.33,2.019,0.02029693296978829,0.6890558515139441,0.029456150651929486
2016-01-08,1171000.0,1163000.0,1186000.0,1163000.0,244550.0,4643.63,1197.29,600.48,15806.0,-47699.0,1917.62,2.057,0.020436550737422263,0.6937957025991648,0.029456150651929486
2016-01-11,1152000.0,1156000.0,1166000.0,1146000.0,240130.0,4637.99,1207.94,603.55,27198.0,-67620.0,1894.84,2.021,0.020104958539291583,0.6825385562717659,0.029456150651929486
2016-01-12,1146000.0,1148000.0,1166000.0,1144000.0,185020.0,4685.92,1204.63,608.56,-11452.0,-39611.0,1890.86,2.046,0.02000024521356611,0.6789836679578504,0.029456150651929486
2016-01-13,1148000.0,1153000.0,1159000.0,1148000.0,143130.0,4526.06,1210.4,589.48,8410.0,-12871.0,1916.28,2.023,0.0200351496554746,0.6801686307291556,0.02945615065192948
2016-01-14,1138000.0,1131000.0,1142000.0,1131000.0,207870.0,4615.0,1210.24,601.57,16442.0,-32252.0,1900.01,2.028,0.01986062744593214,0.6742438168726298,0.029456150651929486
2016-01-15,1132000.0,1140000.0,1152000.0,1124000.0,208770.0,4488.42,1207.73,574.29,1349.0,-9288.0,1878.87,2.023,0.019755914120206663,0.6706889285587143,0.029456150651929486
2016-01-19,1171000.0,1128000.0,1171000.0,1128000.0,205970.0,4476.95,1211.72,575.18,-19997.0,45854.0,1889.64,2.068,0.020436550737422263,0.6937957025991648,0.029456150651929486
2016-01-20,1138000.0,1160000.0,1160000.0,1132000.0,165950.0,4471.69,1207.39,578.94,7863.0,-26311.0,1845.45,2.01,0.01986062744593214,0.6742438168726298,0.029456150651929486
2016-01-21,1131000.0,1133000.0,1155000.0,1125000.0,182050.0,4472.06,1208.43,587.56,51690.0,-56029.0,1840.53,1.994,0.019738461899252414,0.6700964471730617,0.029456150651929486
2016-01-22,1168000.0,1145000.0,1168000.0,1145000.0,147350.0,4591.18,1204.2,598.42,40537.0,-19407.0,1879.43,2.041,0.020384194074559527,0.692018258442207,0.029456150651929486
2016-01-25,1162000.0,1172000.0,1176000.0,1156000.0,159810.0,4518.49,1197.7,589.81,30938.0,-40272.0,1893.43,2.019,0.02027948074883405,0.6884633701282916,0.029456150651929486
2016-01-26,1137000.0,1155000.0,1157000.0,1136000.0,152000.0,4567.67,1199.7,595.86,2030.0,-18222.0,1871.69,1.99,0.01984317522497789,0.6736513354869772,0.029456150651929486
2016-01-27,1175000.0,1126000.0,1175000.0,1126000.0,273980.0,4468.17,1198.32,588.68,38118.0,-26473.0,1897.87,2.011,0.02050635962123925,0.6961656281417751,0.029456150651929486
2016-01-28,1145000.0,1164000.0,1168000.0,1139000.0,315230.0,4506.68,1208.82,586.85,-81545.0,27149.0,1906.94,2.015,0.019982792992611863,0.6783911865721978,0.029456150651929486
2016-01-29,1150000.0,1140000.0,1150000.0,1116000.0,426910.0,4613.95,1207.73,613.68,-18445.0,-26832.0,1912.06,1.98,0.02007005409738309,0.6813535935004607,0.029456150651929486
