"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 08월 31일","2,260.43","2,259.14","2,277.77","2,243.68","-","-0.16%"
"2020년 08월 28일","2,264.14","2,225.76","2,264.59","2,222.20","-","1.98%"
"2020년 08월 27일","2,220.15","2,258.10","2,258.10","2,208.04","-","-1.34%"
"2020년 08월 26일","2,250.23","2,245.17","2,256.45","2,237.45","-","0.32%"
"2020년 08월 25일","2,243.06","2,226.34","2,243.44","2,221.96","-","1.07%"
"2020년 08월 24일","2,219.37","2,224.91","2,227.51","2,202.77","-","0.96%"
"2020년 08월 21일","2,198.33","2,178.02","2,199.27","2,170.64","-","0.79%"
"2020년 08월 20일","2,181.04","2,169.08","2,192.45","2,166.79","-","-0.90%"
"2020년 08월 19일","2,200.77","2,219.40","2,221.93","2,195.81","-","-0.63%"
"2020년 08월 18일","2,214.66","2,237.31","2,240.99","2,209.18","-","-0.58%"
"2020년 08월 17일","2,227.61","2,215.34","2,237.81","2,215.33","-","1.22%"
"2020년 08월 14일","2,200.81","2,203.11","2,227.93","2,194.38","-","-0.07%"
"2020년 08월 13일","2,202.41","2,221.61","2,226.69","2,193.49","-","-1.11%"
"2020년 08월 12일","2,227.22","2,173.94","2,232.01","2,168.90","-","3.36%"
"2020년 08월 11일","2,154.79","2,177.12","2,199.14","2,149.52","-","-1.14%"
"2020년 08월 10일","2,179.60","2,181.37","2,187.98","2,148.11","-","0.03%"
"2020년 08월 07일","2,178.86","2,199.41","2,210.01","2,153.53","-","-1.18%"
"2020년 08월 06일","2,204.94","2,198.96","2,207.70","2,181.76","-","-0.12%"
"2020년 08월 05일","2,207.56","2,202.51","2,215.51","2,191.29","-","-0.10%"
"2020년 08월 04일","2,209.81","2,177.42","2,209.91","2,174.93","-","1.49%"
"2020년 08월 03일","2,177.27","2,156.63","2,181.47","2,151.24","-","1.91%"
"2020년 07월 31일","2,136.41","2,144.74","2,145.42","2,104.92","-","-0.52%"
"2020년 07월 30일","2,147.55","2,105.39","2,148.60","2,098.79","-","1.96%"
"2020년 07월 29일","2,106.30","2,084.62","2,114.20","2,079.49","-","2.23%"
"2020년 07월 28일","2,060.40","2,082.85","2,084.78","2,058.90","-","-2.10%"
"2020년 07월 27일","2,104.62","2,056.98","2,105.58","2,056.50","-","3.23%"
"2020년 07월 24일","2,038.71","2,024.18","2,068.67","2,010.65","-","-1.56%"
"2020년 07월 23일","2,070.97","2,106.93","2,122.53","2,054.50","-","-1.64%"
